Sample #,General Information,,,,Amount of Material,,,Miscellaneous,Special Comments
,Sample Name*,Sample Type*,Species/Strain*,Sample Buffer*,Total Amount*,Volume (µL),Conc (ng/µL),Purification Method*,
1,1775,Total RNA,Pocillopora acuta,ultra pure water,1ug,17.3,57.7,Zymo Quick DNA/RNA,
2,1600,Total RNA,Montipora capitata,ultra pure water,1ug,67.6,14.8,Zymo Quick DNA/RNA,
3,2005,Total RNA,Pocillopora acuta,ultra pure water,1ug,24.3,41.2,Zymo Quick DNA/RNA,
4,2183,Total RNA,Montipora capitata,ultra pure water,1ug,77.5,12.9,Zymo Quick DNA/RNA,
5,1471,Total RNA,Pocillopora acuta,ultra pure water,1ug,18.6,53.9,Zymo Quick DNA/RNA,
6,2026,Total RNA,Pocillopora acuta,ultra pure water,1ug,43.3,23.1,Zymo Quick DNA/RNA,
7,2357,Total RNA,Pocillopora acuta,ultra pure water,1ug,12.8,77.9,Zymo Quick DNA/RNA,
8,1580,Total RNA,Montipora capitata,ultra pure water,1ug,41.7,24,Zymo Quick DNA/RNA,
9,1631,Total RNA,Montipora capitata,ultra pure water,1ug,76.9,13,Zymo Quick DNA/RNA,
10,1754,Total RNA,Montipora capitata,ultra pure water,1ug,64.9,15.4,Zymo Quick DNA/RNA,
11,1103,Total RNA,Pocillopora acuta,ultra pure water,1ug,16,62.6,Zymo Quick DNA/RNA,
12,1644,Total RNA,Montipora capitata,ultra pure water,1ug,59.5,16.8,Zymo Quick DNA/RNA,
13,1131,Total RNA,Pocillopora acuta,ultra pure water,1ug,17.3,57.8,Zymo Quick DNA/RNA,
14,1676,Total RNA,Pocillopora acuta,ultra pure water,1ug,24.4,41,Zymo Quick DNA/RNA,
15,2386,Total RNA,Montipora capitata,ultra pure water,1ug,27.5,36.4,Zymo Quick DNA/RNA,
16,2363,Total RNA,Pocillopora acuta,ultra pure water,1ug,14.4,69.4,Zymo Quick DNA/RNA,
17,1418,Total RNA,Pocillopora acuta,ultra pure water,1ug,17.3,57.8,Zymo Quick DNA/RNA,
18,1594,Total RNA,Pocillopora acuta,ultra pure water,1ug,34,29.4,Zymo Quick DNA/RNA,
19,1451,Total RNA,Pocillopora acuta,ultra pure water,1ug,34.5,29,Zymo Quick DNA/RNA,
20,1159,Total RNA,Pocillopora acuta,ultra pure water,1ug,21.3,47,Zymo Quick DNA/RNA,
21,1641,Total RNA,Pocillopora acuta,ultra pure water,1ug,21.6,46.4,Zymo Quick DNA/RNA,
22,1205,Total RNA,Pocillopora acuta,ultra pure water,1ug,16.8,59.4,Zymo Quick DNA/RNA,
23,2554,Total RNA,Montipora capitata,ultra pure water,1ug,36.2,27.6,Zymo Quick DNA/RNA,
24,1486,Total RNA,Pocillopora acuta,ultra pure water,1ug,12.1,82.6,Zymo Quick DNA/RNA,
25,1751,Total RNA,Montipora capitata,ultra pure water,1ug,59.2,16.9,Zymo Quick DNA/RNA,
26,1459,Total RNA,Pocillopora acuta,ultra pure water,1ug,17.6,56.7,Zymo Quick DNA/RNA,
27,2513,Total RNA,Pocillopora acuta,ultra pure water,1ug,32.1,31.2,Zymo Quick DNA/RNA,
28,1141,Total RNA,Pocillopora acuta,ultra pure water,1ug,21.2,47.2,Zymo Quick DNA/RNA,
29,1420,Total RNA,Montipora capitata,ultra pure water,1ug,26.9,37.2,Zymo Quick DNA/RNA,
30,2979,Total RNA,Pocillopora acuta,ultra pure water,1ug,27.5,36.4,Zymo Quick DNA/RNA,
31,1095,Total RNA,Montipora capitata,ultra pure water,1ug,58.1,17.2,Zymo Quick DNA/RNA,
32,1074,Total RNA,Montipora capitata,ultra pure water,1ug,67.6,14.8,Zymo Quick DNA/RNA,
33,1235,Total RNA,Montipora capitata,ultra pure water,1ug,43.3,23.1,Zymo Quick DNA/RNA,
34,2304,Total RNA,Pocillopora acuta,ultra pure water,1ug,41,24.4,Zymo Quick DNA/RNA,
35,2743,Total RNA,Pocillopora acuta,ultra pure water,1ug,10,103,Zymo Quick DNA/RNA,
36,1219,Total RNA,Pocillopora acuta,ultra pure water,1ug,13.2,75.7,Zymo Quick DNA/RNA,
37,2561,Total RNA,Montipora capitata,ultra pure water,1ug,59.9,16.7,Zymo Quick DNA/RNA,
38,1260,Total RNA,Montipora capitata,ultra pure water,1ug,59.5,16.8,Zymo Quick DNA/RNA,
39,1148,Total RNA,Montipora capitata,ultra pure water,1ug,38.3,26.1,Zymo Quick DNA/RNA,
40,2862,Total RNA,Montipora capitata,ultra pure water,1ug,47.8,20.9,Zymo Quick DNA/RNA,
41,2550,Total RNA,Pocillopora acuta,ultra pure water,1ug,21.3,47,Zymo Quick DNA/RNA,
42,1732,Total RNA,Pocillopora acuta,ultra pure water,1ug,18.3,54.5,Zymo Quick DNA/RNA,
43,2305,Total RNA,Pocillopora acuta,ultra pure water,1ug,10.6,94.5,Zymo Quick DNA/RNA,
44,2202,Total RNA,Pocillopora acuta,ultra pure water,1ug,12.9,77.4,Zymo Quick DNA/RNA,
45,1060,Total RNA,Pocillopora acuta,ultra pure water,1ug,12.2,81.7,Zymo Quick DNA/RNA,
46,2993,Total RNA,Pocillopora acuta,ultra pure water,1ug,13.6,73.7,Zymo Quick DNA/RNA,
47,1306,Total RNA,Montipora capitata,ultra pure water,1ug,37.6,26.6,Zymo Quick DNA/RNA,
48,1559,Total RNA,Pocillopora acuta,ultra pure water,1ug,23.2,43.1,Zymo Quick DNA/RNA,
49,1238,Total RNA,Pocillopora acuta,ultra pure water,1ug,18.1,55.2,Zymo Quick DNA/RNA,
50,1331,Total RNA,Montipora capitata,ultra pure water,1ug,84.7,11.8,Zymo Quick DNA/RNA,
51,1765,Total RNA,Pocillopora acuta,ultra pure water,1ug,14.9,67.3,Zymo Quick DNA/RNA,
52,1536,Total RNA,Pocillopora acuta,ultra pure water,1ug,16.2,61.6,Zymo Quick DNA/RNA,
53,1478,Total RNA,Montipora capitata,ultra pure water,1ug,26.1,38.3,Zymo Quick DNA/RNA,
54,1303,Total RNA,Pocillopora acuta,ultra pure water,1ug,34.2,29.2,Zymo Quick DNA/RNA,
55,1296,Total RNA,Pocillopora acuta,ultra pure water,1ug,12.3,81.5,Zymo Quick DNA/RNA,
56,1779,Total RNA,Montipora capitata,ultra pure water,1ug,68.5,14.6,Zymo Quick DNA/RNA,
57,2995,Total RNA,Montipora capitata,ultra pure water,1ug,59.2,16.9,Zymo Quick DNA/RNA,
58,2197,Total RNA,Pocillopora acuta,ultra pure water,1ug,14.2,70.2,Zymo Quick DNA/RNA,
59,1220,Total RNA,Pocillopora acuta,ultra pure water,1ug,12.6,79.2,Zymo Quick DNA/RNA,
60,1196,Total RNA,Montipora capitata,ultra pure water,1ug,30,33.3,Zymo Quick DNA/RNA,
61,2012,Total RNA,Pocillopora acuta,ultra pure water,1ug,21.5,46.5,Zymo Quick DNA/RNA,
62,2861,Total RNA,Pocillopora acuta,ultra pure water,1ug,12.2,82.3,Zymo Quick DNA/RNA,
63,2873,Total RNA,Pocillopora acuta,ultra pure water,1ug,10.8,92.7,Zymo Quick DNA/RNA,
64,1561,Total RNA,Montipora capitata,ultra pure water,1ug,32.6,30.7,Zymo Quick DNA/RNA,
65,1225,Total RNA,Pocillopora acuta,ultra pure water,1ug,10,106,Zymo Quick DNA/RNA,
66,2064,Total RNA,Pocillopora acuta,ultra pure water,1ug,14.4,69.6,Zymo Quick DNA/RNA,
67,1168,Total RNA,Pocillopora acuta,ultra pure water,1ug,14.2,70.4,Zymo Quick DNA/RNA,
68,1757,Total RNA,Pocillopora acuta,ultra pure water,1ug,10.3,96.8,Zymo Quick DNA/RNA,
69,1776,Total RNA,Montipora capitata,ultra pure water,1ug,40.8,24.5,Zymo Quick DNA/RNA,
70,2877,Total RNA,Pocillopora acuta,ultra pure water,1ug,10,129,Zymo Quick DNA/RNA,
71,1254,Total RNA,Pocillopora acuta,ultra pure water,1ug,20.1,49.7,Zymo Quick DNA/RNA,
72,1051,Total RNA,Pocillopora acuta,ultra pure water,1ug,13.2,75.7,Zymo Quick DNA/RNA,
73,1436,Total RNA,Montipora capitata,ultra pure water,1ug,67.6,14.8,Zymo Quick DNA/RNA,
74,2412,Total RNA,Montipora capitata,ultra pure water,1ug,22,45.5,Zymo Quick DNA/RNA,
75,1466,Total RNA,Pocillopora acuta,ultra pure water,1ug,17,58.8,Zymo Quick DNA/RNA,
76,2300,Total RNA,Pocillopora acuta,ultra pure water,1ug,14,71.6,Zymo Quick DNA/RNA,
77,1184,Total RNA,Pocillopora acuta,ultra pure water,1ug,11.8,84.9,Zymo Quick DNA/RNA,
78,1345,Total RNA,Montipora capitata,ultra pure water,1ug,17.8,56.2,Zymo Quick DNA/RNA,
79,2866,Total RNA,Montipora capitata,ultra pure water,1ug,21.6,46.4,Zymo Quick DNA/RNA,
80,1617,Total RNA,Pocillopora acuta,ultra pure water,1ug,10.9,91.7,Zymo Quick DNA/RNA,
81,1227,Total RNA,Pocillopora acuta,ultra pure water,1ug,10.1,99.3,Zymo Quick DNA/RNA,
82,2518,Total RNA,Montipora capitata,ultra pure water,1ug,54.6,18.3,Zymo Quick DNA/RNA,
83,2870,Total RNA,Pocillopora acuta,ultra pure water,1ug,10,129,Zymo Quick DNA/RNA,
84,2999,Total RNA,Pocillopora acuta,ultra pure water,1ug,10,105.5,Zymo Quick DNA/RNA,
85,1330,Total RNA,Pocillopora acuta,ultra pure water,1ug,9.1,110,Zymo Quick DNA/RNA,
86,1705,Total RNA,Montipora capitata,ultra pure water,1ug,16.7,60,Zymo Quick DNA/RNA,
87,1755,Total RNA,Pocillopora acuta,ultra pure water,1ug,17.6,56.8,Zymo Quick DNA/RNA,
88,1496,Total RNA,Montipora capitata,ultra pure water,1ug,54.6,18.3,Zymo Quick DNA/RNA,
89,1246,Total RNA,Montipora capitata,ultra pure water,1ug,35.5,28.2,Zymo Quick DNA/RNA,
90,1164,Total RNA,Montipora capitata,ultra pure water,1ug,21.7,46.1,Zymo Quick DNA/RNA,
91,1128,Total RNA,Montipora capitata,ultra pure water,1ug,21.3,47,Zymo Quick DNA/RNA,
92,1637,Total RNA,Pocillopora acuta,ultra pure water,1ug,10,106,Zymo Quick DNA/RNA,
93,2527,Total RNA,Pocillopora acuta,ultra pure water,1ug,10,125,Zymo Quick DNA/RNA,
94,1114,Total RNA,Montipora capitata,ultra pure water,1ug,27.8,36,Zymo Quick DNA/RNA,
95,1721,Total RNA,Pocillopora acuta,ultra pure water,1ug,12.5,79.8,Zymo Quick DNA/RNA,
96,1826,Total RNA,Montipora capitata,ultra pure water,1ug,38.8,25.8,Zymo Quick DNA/RNA,
97,1544,Total RNA,Montipora capitata,ultra pure water,1ug,44.8,22.3,Zymo Quick DNA/RNA,
98,2875,Total RNA,Montipora capitata,ultra pure water,1ug,38,26.3,Zymo Quick DNA/RNA,
99,1223,Total RNA,Montipora capitata,ultra pure water,1ug,69.4,14.4,Zymo Quick DNA/RNA,
100,1728,Total RNA,Pocillopora acuta,ultra pure water,1ug,12.8,77.9,Zymo Quick DNA/RNA,
101,2414,Total RNA,Pocillopora acuta,ultra pure water,1ug,10,112,Zymo Quick DNA/RNA,
102,2204,Total RNA,Montipora capitata,ultra pure water,1ug,24.2,41.4,Zymo Quick DNA/RNA,
103,1744,Total RNA,Pocillopora acuta,ultra pure water,1ug,12,83.6,Zymo Quick DNA/RNA,
104,2878,Total RNA,Pocillopora acuta,ultra pure water,1ug,17,58.9,Zymo Quick DNA/RNA,
105,2860,Total RNA,Montipora capitata,ultra pure water,1ug,22.2,45.1,Zymo Quick DNA/RNA,
106,1487,Total RNA,Pocillopora acuta,ultra pure water,1ug,14.5,68.8,Zymo Quick DNA/RNA,
107,1427,Total RNA,Pocillopora acuta,ultra pure water,1ug,19.1,52.3,Zymo Quick DNA/RNA,
108,1126,Total RNA,Montipora capitata,ultra pure water,1ug,32.6,30.7,Zymo Quick DNA/RNA,
109,1090,Total RNA,Pocillopora acuta,ultra pure water,1ug,32.7,30.6,Zymo Quick DNA/RNA,
110,1323,Total RNA,Montipora capitata,ultra pure water,1ug,42.7,23.4,Zymo Quick DNA/RNA,
111,2068,Total RNA,Montipora capitata,ultra pure water,1ug,64.9,15.4,Zymo Quick DNA/RNA,
112,1047,Total RNA,Pocillopora acuta,ultra pure water,1ug,11.3,88.4,Zymo Quick DNA/RNA,
113,1499,Total RNA,Montipora capitata,ultra pure water,1ug,51.5,19.4,Zymo Quick DNA/RNA,
114,2409,Total RNA,Pocillopora acuta,ultra pure water,1ug,21.7,46.1,Zymo Quick DNA/RNA,
115,1595,Total RNA,Pocillopora acuta,ultra pure water,1ug,10.4,96.1,Zymo Quick DNA/RNA,
116,1050,Total RNA,Pocillopora acuta,ultra pure water,1ug,11.6,85.9,Zymo Quick DNA/RNA,
117,2413,Total RNA,Pocillopora acuta,ultra pure water,1ug,14.1,70.9,Zymo Quick DNA/RNA,
118,1278,Total RNA,Montipora capitata,ultra pure water,1ug,40,25,Zymo Quick DNA/RNA,
119,1138,Total RNA,Pocillopora acuta,ultra pure water,1ug,16.9,59.2,Zymo Quick DNA/RNA,
120,1250,Total RNA,Montipora capitata,ultra pure water,1ug,66.7,15,Zymo Quick DNA/RNA,
121,1043,Total RNA,Pocillopora acuta,ultra pure water,1ug,18.1,55.1,Zymo Quick DNA/RNA,
122,1343,Total RNA,Pocillopora acuta,ultra pure water,1ug,30,33.3,Zymo Quick DNA/RNA,
123,2072,Total RNA,Pocillopora acuta,ultra pure water,1ug,16.8,59.5,Zymo Quick DNA/RNA,
124,1317,Total RNA,Montipora capitata,ultra pure water,1ug,42.7,23.4,Zymo Quick DNA/RNA,
125,2977,Total RNA,Pocillopora acuta,ultra pure water,1ug,20.4,49.1,Zymo Quick DNA/RNA,
126,1542,Total RNA,Pocillopora acuta,ultra pure water,1ug,26.1,38.3,Zymo Quick DNA/RNA,
127,1820,Total RNA,Pocillopora acuta,ultra pure water,1ug,21.6,46.3,Zymo Quick DNA/RNA,
128,2081,Total RNA,Montipora capitata,ultra pure water,1ug,56.2,17.8,Zymo Quick DNA/RNA,
129,1415,Total RNA,Pocillopora acuta,ultra pure water,1ug,18.2,54.9,Zymo Quick DNA/RNA,
130,1041,Total RNA,Pocillopora acuta,ultra pure water,1ug,11.9,83.8,Zymo Quick DNA/RNA,
131,1058,Total RNA,Montipora capitata,ultra pure water,1ug,33.6,29.8,Zymo Quick DNA/RNA,
132,1767,Total RNA,Pocillopora acuta,ultra pure water,1ug,10,130,Zymo Quick DNA/RNA,
134,1239,Total RNA,Pocillopora acuta,ultra pure water,1ug,10.7,93.4,Zymo Quick DNA/RNA,